Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;808;Косметика;"Двухфазная сыворотка против старения: Восстанавливающая пудра 100мг.х 6шт.; Восстанавливающий раствор 6мл.х 6шт. ";"Dermaheal Stem C'rum: Stem C'rum Cell Revitalizing Powder 100mg. x 6; Stem C'rum Cell Revitalizing Solution 6ml. x 6";наб.;;DERMAHEAL;;4 549 200;4 549 200;;SC;;;;;CAREGEN CO;
;809;Косметика;"Набор ""Чудо омоложение за две недели"": - Тоник волшебный, 15мл.;  - Сыворотка волшебная ремоделирующая 10мл.; - Крем для лица волшебный ремоделирующий 10мл.; - Крем для век волшебный ремоделирующий 5мл.";"2 Weeks Miracle Redesign (Anti-aging): - Dermaheal Redesign Miracle Solution15ml;  - Dermaheal Redesign Miracle Serum 10ml; - Dermaheall Redesign Miracle Cream 10ml; - Dermaheall Redesign Miracle Eye Contour 5ml.      ";наб.;;DERMAHEAL;;693 600;693 600;;WMRkit;;;;;CAREGEN CO;
;810;Косметика;Оживляющая сыворотка для лица;Dermaheal Vitalizing Serum;40;;DERMAHEAL;;734 400;734 400;;VS;;;;;CAREGEN CO;
;811;Косметика;Оживляющий крем для лица ;Dermaheal Vitalizing Cream;30;;DERMAHEAL;;734 400;734 400;;VC;;;;;CAREGEN CO;
;812;Косметика;Оживляющая маска для лица;Dermaheal Vitalizing Mask Pack;22;;DERMAHEAL;;61 200;61 200;;VMP;;;;;CAREGEN CO;
;813;Косметика;Омолаживающая сыворотка ;Dermaheal Cosmeceutical Anti-Wrinkle Serum;40;;DERMAHEAL;;734 400;734 400;;CAWS;;;;;CAREGEN CO;
;814;Косметика;Омолаживающий крем для лица ;Dermaheal Cosmeceutical Anti-Wrinkle Cream;40;;DERMAHEAL;;734 400;734 400;;CAWC;;;;;CAREGEN CO;
;815;Косметика;Омолаживающая маска для лица;Dermaheal Cosmeceutical Mask Pack;22;;DERMAHEAL;;61 200;61 200;;CMP;;;;;CAREGEN CO;
;816;Косметика;Сыворотка против старения;Dermaheal Wrinkle Skinceutical Serum;20;;DERMAHEAL;;734 400;734 400;;WSS;;;;;CAREGEN CO;
;817;Косметика;"Набор ""Чудо отбеливание Царский фарфор"": - Тоник волшебный Царский фарфор, 15ml.; - Сыворотка волшебная Царский Фарфор 10мл.;  - Крем волшебный Царский Фарфор 10мл.; - Крем-корректор волшебный Царский Фарфор 5мл.  ";"2 Weeks Miracle Rise n Shine (Anti-pigmentation): - Dermaheal Rise N Shine Miracle Solution 15ml; - Dermaheal Rise N Shine Miracle Serum 10ml;  - Dermaheal Rise N Shine Miracle Cream 10ml; - Dermaheal Rise N Shine Miracle Spot Corrector5ml.";наб.;;DERMAHEAL;;693 600;693 600;;WMRSkit;;;;;CAREGEN CO;
